Date/Time,Temp(C),RH(%),Dew Point(C),Ptychostomum
11/25/19 14:40:00,22.82,45.33,10.37,69.51
11/25/19 14:40:20,22.81,45.36,10.37,70.37
11/25/19 14:40:40,22.8,45.36,10.36,70.37
11/25/19 14:41:00,22.8,45.42,10.38,70.94
11/25/19 14:41:20,22.82,45.36,10.38,71.41
11/25/19 14:41:40,22.82,45.3,10.36,71.22
11/25/19 14:42:00,22.84,45.2,10.35,70.94
11/25/19 14:42:20,22.84,45.11,10.31,70.94
11/25/19 14:42:40,22.87,45.18,10.36,71.41
11/25/19 14:43:00,22.92,45.15,10.4,71.89
11/25/19 14:43:20,22.97,44.96,10.38,71.13
11/25/19 14:43:40,23.05,44.65,10.35,72.08
11/25/19 14:44:00,23.16,44.34,10.35,72.76
11/25/19 14:44:20,23.24,44.06,10.32,72.28
11/25/19 14:44:40,23.31,43.75,10.28,72.47
11/25/19 14:45:00,23.37,43.49,10.25,71.7
11/25/19 14:45:20,23.41,43.34,10.23,71.13
11/25/19 14:45:40,23.41,43.17,10.17,70.37
11/25/19 14:46:00,23.44,42.98,10.13,69.42
11/25/19 14:46:20,23.46,42.86,10.11,70.94
11/25/19 14:46:40,23.48,42.79,10.1,70.37
11/25/19 14:47:00,23.48,42.73,10.08,70.37
11/25/19 14:47:20,23.49,42.6,10.04,70.37
11/25/19 14:47:40,23.48,42.57,10.02,70.94
11/25/19 14:48:00,23.48,42.53,10.01,70.46
11/25/19 14:48:20,23.47,42.53,10,72.85
11/25/19 14:48:40,23.47,42.5,9.99,73.72
11/25/19 14:49:00,23.46,42.47,9.97,71.99
11/25/19 14:49:20,23.47,42.4,9.96,70.94
11/25/19 14:49:40,23.45,42.4,9.94,71.41
11/25/19 14:50:00,23.43,42.4,9.92,71.13
11/25/19 14:50:20,23.43,42.33,9.9,71.8
11/25/19 14:50:40,23.41,42.36,9.89,71.51
11/25/19 14:51:00,23.4,42.33,9.87,71.89
11/25/19 14:51:20,23.38,42.33,9.85,71.89
11/25/19 14:51:40,23.39,42.23,9.82,71.89
11/25/19 14:52:00,23.39,42.26,9.84,72.08
11/25/19 14:52:20,23.38,42.26,9.83,72.18
11/25/19 14:52:40,23.36,42.26,9.81,72.66
11/25/19 14:53:00,23.35,42.19,9.78,73.43
11/25/19 14:53:20,23.36,42.16,9.77,72.85
11/25/19 14:53:40,23.36,42.2,9.79,72.85
11/25/19 14:54:00,23.36,42.13,9.76,72.56
11/25/19 14:54:20,23.35,42.13,9.75,72.76
11/25/19 14:54:40,23.34,42.13,9.74,72.66
11/25/19 14:55:00,23.32,42.16,9.74,73.04
11/25/19 14:55:20,23.32,42.16,9.74,73.04
11/25/19 14:55:40,23.32,42.19,9.75,72.95
11/25/19 14:56:00,23.32,42.19,9.75,73.14
11/25/19 14:56:20,23.29,42.25,9.74,72.85
11/25/19 14:56:40,23.3,42.19,9.73,73.14
11/25/19 14:57:00,23.28,42.22,9.72,73.72
11/25/19 14:57:20,23.26,42.18,9.69,73.62
11/25/19 14:57:40,23.24,42.21,9.68,73.53
11/25/19 14:58:00,23.22,42.24,9.68,73.53
11/25/19 14:58:20,23.21,42.24,9.67,73.33
11/25/19 14:58:40,23.22,42.21,9.67,73.53
11/25/19 14:59:00,23.2,42.24,9.66,73.62
11/25/19 14:59:20,23.2,42.24,9.66,73.72
11/25/19 14:59:40,23.18,42.24,9.64,74.01
11/25/19 15:00:00,23.19,42.24,9.65,73.91
11/25/19 15:00:20,23.18,42.27,9.65,74.01
11/25/19 15:00:40,23.19,42.24,9.65,73.82
11/25/19 15:01:00,23.16,42.3,9.64,74.11
11/25/19 15:01:20,23.14,42.3,9.62,73.91
11/25/19 15:01:40,23.14,42.3,9.62,74.2
11/25/19 15:02:00,23.12,42.3,9.61,74.11
11/25/19 15:02:20,23.13,42.3,9.61,74.4
11/25/19 15:02:40,23.11,42.33,9.61,74.3
11/25/19 15:03:00,23.11,42.3,9.6,74.69
11/25/19 15:03:20,23.11,42.3,9.6,74.69
11/25/19 15:03:40,23.1,42.3,9.59,74.59
11/25/19 15:04:00,23.1,42.33,9.6,74.69
11/25/19 15:04:20,23.09,42.3,9.58,74.59
11/25/19 15:04:40,23.08,42.29,9.57,74.59
11/25/19 15:05:00,23.09,42.3,9.58,74.78
11/25/19 15:05:20,23.06,42.32,9.56,75.27
11/25/19 15:05:40,23.07,42.29,9.56,74.98
11/25/19 15:06:00,23.07,42.29,9.56,74.78
11/25/19 15:06:20,23.04,42.35,9.55,75.08
11/25/19 15:06:40,23.04,42.29,9.53,75.17
11/25/19 15:07:00,23.02,42.35,9.53,75.46
11/25/19 15:07:20,23.03,42.35,9.54,75.56
11/25/19 15:07:40,23.02,42.35,9.53,75.76
11/25/19 15:08:00,23,42.38,9.53,76.15
11/25/19 15:08:20,22.99,42.38,9.52,76.05
11/25/19 15:08:40,22.99,42.41,9.53,75.85
11/25/19 15:09:00,23,42.41,9.54,75.66
11/25/19 15:09:20,23.02,42.42,9.56,76.05
11/25/19 15:09:40,23,42.41,9.54,76.25
11/25/19 15:10:00,23,42.45,9.55,76.25
11/25/19 15:10:20,22.98,42.41,9.52,75.95
11/25/19 15:10:40,22.98,42.44,9.53,76.34
11/25/19 15:11:00,22.96,42.41,9.5,76.34
11/25/19 15:11:20,22.96,42.41,9.5,76.44
11/25/19 15:11:40,22.94,42.47,9.5,76.83
11/25/19 15:12:00,22.94,42.44,9.49,76.34
11/25/19 15:12:20,22.95,42.47,9.51,76.83
11/25/19 15:12:40,22.96,42.48,9.52,76.73
11/25/19 15:13:00,22.94,42.47,9.5,76.73
11/25/19 15:13:20,22.95,42.47,9.51,76.54
11/25/19 15:13:40,22.94,42.47,9.5,76.44
11/25/19 15:14:00,22.94,42.47,9.5,76.44
11/25/19 15:14:20,22.93,42.5,9.51,76.73
11/25/19 15:14:40,22.92,42.54,9.51,76.44
11/25/19 15:15:00,22.92,42.5,9.5,76.83
