Date/Time,Temp(C),RH(%),A0_Imp(ohm),A1_Imp(ohm),A2_Imp(ohm),A3_Imp(ohm),A4_Imp(ohm),A5_Imp(ohm),A6_Imp(ohm),A7_Imp(ohm)
2025-05-23 14:00:04,25.5,33.3,55935,55935,66.35,76.37,55935,55935,55935,55935
2025-05-23 14:00:14,25.6,33.6,55935,55935,66.7,75.64,55935,55935,55935,55935
2025-05-23 14:00:24,25.5,33.3,55935,55935,67.16,73.94,55935,55935,55935,55935
2025-05-23 14:00:34,25.5,33.3,55935,55935,67.16,73.09,55935,55935,55935,55935
2025-05-23 14:00:44,25.5,33.6,55935,55935,66.93,72.13,55935,44568.36,55935,55935
2025-05-23 14:00:54,25.6,33.4,55935,55935,67.98,70.94,55935,40590,47897.14,55935
2025-05-23 14:01:04,25.5,33.3,55935,55935,67.28,70.23,55935,55935,55935,51606.92
2025-05-23 14:01:14,25.6,33.6,55935,55935,67.4,69.16,55935,55935,55935,55935
2025-05-23 14:01:24,25.2,33.3,55935,55935,68.1,68.57,55935,55935,55935,55935
2025-05-23 14:01:34,25.5,33.7,55935,55935,68.45,68.22,55935,55935,55935,55935
